0,apple pie
1,arugula
2,asparagus
3,au jus
4,avocado
5,baby back ribs
6,bacon
7,baked potato
8,baklava
9,basil
10,bean sprouts
11,beans
12,beef
13,beef carpaccio
14,beef tartare
15,beer
16,beet salad
17,beignets
18,berries
19,bibimbap
20,black beans
21,blackberries
22,blueberries
23,bread
24,bread pudding
25,breakfast burrito
26,broccoli
27,bruschetta
28,bun
29,butter
30,cabbage
31,caesar salad
32,cake
33,cannoli
34,caprese salad
35,carrot cake
36,carrots
37,celery
38,ceviche
39,cheese
40,cheese plate
41,cheeseburger
42,cheesecake
43,chicken
44,chicken curry
45,chicken quesadilla
46,chicken wings
47,chives
48,chocolate
49,chocolate cake
50,chocolate mousse
51,chocolate sauce
52,churros
53,cilantro
54,clam chowder
55,club sandwich
56,cocktail sauce
57,coffee
58,coleslaw
59,corn
60,crab cakes
61,crackers
62,cream
63,creme brulee
64,croque madame
65,croutons
66,cucumber slice
67,cup cakes
68,deviled eggs
69,dipping sauce
70,donuts
71,dumplings
72,edamame
73,eggs
74,eggs benedict
75,escargots
76,falafel
77,filet mignon
78,fish
79,fish and chips
80,foie gras
81,french fries
82,french onion soup
83,french toast
84,fried calamari
85,fried egg
86,fried rice
87,frosting
88,frozen yogurt
89,garlic bread
90,garnish
91,ginger
92,gnocchi
93,grapes
94,gravy
95,greek salad
96,green beans
97,green onions
98,greens
99,grilled cheese sandwich
100,grilled salmon
101,guacamole
102,gyoza
103,ham
104,hamburger
105,hash browns
106,home fries
107,hot and sour soup
108,hot dog
109,huevos rancheros
110,hummus
111,ice cream
112,ketchup
113,lasagna
114,lemon slice
115,lettuce
116,lime slice
117,lobster bisque
118,lobster roll sandwich
119,macaroni and cheese
120,macarons
121,mashed potatoes
122,mint
123,miso soup
124,mixed fruit
125,mixed greens
126,mixed vegetables
127,mushrooms
128,mussels
129,mustard
130,nachos
131,noodles
132,nuts
133,olives
134,omelette
135,onion rings
136,onions
137,orange slice
138,oysters
139,pad thai
140,paella
141,pancakes
142,panna cotta
143,parmesan cheese
144,parsley
145,peas
146,peking duck
147,peppers
148,pho
149,pickles
150,pita bread
151,pizza
152,pork chop
153,potato chips
154,potatoes
155,poutine
156,powdered sugar
157,prime rib
158,pulled pork sandwich
159,ramen
160,raspberries
161,ravioli
162,red velvet cake
163,rice
164,risotto
165,salad
166,salsa
167,samosa
168,sashimi
169,sauce
170,sausage
171,scallops
172,seaweed salad
173,shrimp
174,shrimp and grits
175,soup
176,sour cream
177,soy sauce
178,spaghetti bolognese
179,spaghetti carbonara
180,spinach
181,spring rolls
182,steak
183,strawberries
184,strawberry shortcake
185,sushi
186,syrup
187,tacos
188,takoyaki
189,tartar sauce
190,tiramisu
191,toast
192,tomato sauce
193,tomato slice
194,tortilla
195,tortilla chips
196,tuna tartare
197,waffles
198,wasabi
199,whipped cream
200,wine
