1,apple pie
2,arugula
3,asparagus
4,au jus
5,avocado
6,baby back ribs
7,bacon
8,baked potato
9,baklava
10,basil
11,bean sprouts
12,beans
13,beef
14,beef carpaccio
15,beef tartare
16,beer
17,beet salad
18,beignets
19,berries
20,bibimbap
21,black beans
22,blackberries
23,blueberries
24,bread
26,bread pudding
27,breakfast burrito
28,broccoli
29,bruschetta
30,bun
31,butter
32,cabbage
33,caesar salad
34,cake
35,cannoli
36,caprese salad
38,carrot cake
39,carrots
40,celery
41,ceviche
42,cheese
43,cheese plate
44,cheeseburger
45,cheesecake
46,chicken
47,chicken curry
48,chicken quesadilla
49,chicken wings
50,chives
51,chocolate cake
52,chocolate mousse
53,chocolate sauce
54,churros
55,cilantro
56,clam chowder
57,club sandwich
58,cocktail sauce
59,coffee
60,coleslaw
61,corn
63,crab cakes
64,crackers
65,cream
66,creme brulee
67,croque madame
68,croutons
69,cucumber slice
70,cup cakes
72,deviled eggs
73,dipping sauce
74,donuts
75,dumplings
76,edamame
77,eggs
78,eggs benedict
79,escargots
80,falafel
81,filet mignon
82,fish
83,fish and chips
84,foie gras
85,french fries
86,french onion soup
87,french toast
88,fried calamari
89,fried egg
90,fried rice
91,frosting
92,frozen yogurt
93,garlic bread
94,garnish
95,ginger
96,gnocchi
97,grapes
98,gravy
99,greek salad
100,green beans
101,green onions
102,greens
103,grilled cheese sandwich
104,grilled salmon
105,guacamole
106,gyoza
107,ham
108,hamburger
109,hash browns
110,home fries
111,hot and sour soup
112,hot dog
113,huevos rancheros
114,hummus
115,ice cream
116,ketchup
117,lasagna
118,lemon slice
119,lettuce
120,lime slice
121,lobster bisque
122,lobster roll sandwich
123,macaroni and cheese
124,macarons
126,mashed potatoes
127,mint
128,miso soup
129,mixed fruit
130,mixed greens
131,mixed vegetables
132,mushrooms
133,mussels
134,mustard
136,nachos
137,noodles
138,nuts
139,olives
140,omelette
141,onion rings
142,onions
143,orange slice
145,oysters
146,pad thai
147,paella
148,pancakes
149,panna cotta
150,parmesan cheese
151,parsley
152,peas
153,peking duck
154,peppers
155,pho
156,pickles
157,pita bread
158,pizza
159,pork chop
160,potato chips
161,potatoes
162,poutine
163,powdered sugar
164,prime rib
165,pulled pork sandwich
166,ramen
167,raspberries
168,ravioli
169,red velvet cake
170,rice
171,risotto
172,salad
173,salsa
174,samosa
175,sashimi
176,sauce
177,sausage
178,scallops
179,seaweed salad
180,shrimp
181,shrimp and grits
182,soup
183,sour cream
184,soy sauce
185,spaghetti bolognese
186,spaghetti carbonara
187,spinach
188,spring rolls
189,steak
190,strawberries
191,strawberry shortcake
192,sushi
193,syrup
194,tacos
195,takoyaki
196,tartar sauce
197,tiramisu
198,toast
199,tomato sauce
200,tomato slice
201,tortilla
202,tortilla chips
203,tuna tartare
204,waffles
205,wasabi
206,whipped cream
207,wine
208,chocolate
